Question or Query,Total - Both Male & Female,Male,Female,Dublin,Leinster,Munster,Connacht,Ulster (ROI Only),18-24,25-34,35-44,45-54,55-64
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Humour  Neither,30%,28%,32%,32%,32%,31%,20%,28%,22%,26%,35%,28%,36%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Humour  Not very impactful,98,39,59,31,28,27,10,2,16,22,21,24,15
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Humour  Not very impactful,10%,8%,12%,11%,10%,10%,9%,4%,12%,10%,8%,11%,9%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Humour  Not at all impactful,53,26,27,8,16,17,10,2,4,7,11,19,12
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Humour  Not at all impactful,5%,5%,5%,3%,6%,6%,9%,4%,3%,3%,4%,9%,7%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Occasion based messages ideas for how and when I can use the product  Very impactful ,122,65,57,31,36,36,11,8,19,27,37,21,18
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Occasion based messages ideas for how and when I can use the product  Very impactful ,12%,13%,11%,11%,13%,13%,10%,15%,15%,12%,14%,10%,10%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Occasion based messages ideas for how and when I can use the product  Fairly Impactful,415,185,230,116,109,107,58,25,55,99,104,86,71
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Occasion based messages ideas for how and when I can use the product  Fairly Impactful,41%,38%,45%,41%,39%,38%,51%,47%,43%,44%,40%,41%,40%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Occasion based messages ideas for how and when I can use the product  Neither,293,153,140,94,76,85,21,17,36,71,68,61,57
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Occasion based messages ideas for how and when I can use the product  Neither,29%,31%,27%,33%,28%,30%,19%,32%,28%,32%,26%,29%,32%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Occasion based messages ideas for how and when I can use the product  Not very impactful,108,51,57,30,30,35,11,2,14,19,29,27,19
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Occasion based messages ideas for how and when I can use the product  Not very impactful,11%,10%,11%,11%,11%,13%,10%,4%,11%,8%,11%,13%,11%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Occasion based messages ideas for how and when I can use the product  Not at all impactful,64,36,28,10,25,16,12,1,5,9,23,16,11
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Occasion based messages ideas for how and when I can use the product  Not at all impactful,6%,7%,5%,4%,9%,6%,11%,2%,4%,4%,9%,8%,6%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Old Fashioned values   Very impactful ,144,78,66,37,39,45,15,8,15,11,53,34,31
