Question or Query,Total - Both Male & Female,Male,Female,Dublin,Leinster,Munster,Connacht,Ulster (ROI Only),18-24,25-34,35-44,45-54,55-64
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Tells me a story about the brand  product   Not very impactful,145,66,79,42,41,40,13,9,22,40,33,33,17
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Tells me a story about the brand  product   Not very impactful,14%,13%,15%,15%,15%,14%,12%,17%,17%,18%,13%,16%,10%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Tells me a story about the brand  product   Not at all impactful,91,50,41,20,30,24,15,2,14,19,20,28,10
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Tells me a story about the brand  product   Not at all impactful,9%,10%,8%,7%,11%,9%,13%,4%,11%,8%,8%,13%,6%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Unique claims  brand attributes   Very impactful ,119,65,54,28,39,38,10,4,19,21,41,18,20
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Unique claims  brand attributes   Very impactful ,12%,13%,11%,10%,14%,14%,9%,8%,15%,9%,16%,9%,11%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Unique claims  brand attributes   Fairly Impactful,344,181,163,96,95,83,47,23,51,77,93,69,54
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Unique claims  brand attributes   Fairly Impactful,34%,37%,32%,34%,34%,30%,42%,43%,40%,34%,36%,33%,31%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Unique claims  brand attributes   Neither,338,148,190,103,84,99,34,18,33,83,75,78,69
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Unique claims  brand attributes   Neither,34%,30%,37%,37%,30%,35%,30%,34%,26%,37%,29%,37%,39%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Unique claims  brand attributes   Not very impactful,136,61,75,40,42,40,11,3,23,29,33,30,21
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Unique claims  brand attributes   Not very impactful,14%,12%,15%,14%,15%,14%,10%,6%,18%,13%,13%,14%,12%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Unique claims  brand attributes   Not at all impactful,65,35,30,14,16,19,11,5,3,15,19,16,12
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Unique claims  brand attributes   Not at all impactful,6%,7%,6%,5%,6%,7%,10%,9%,2%,7%,7%,8%,7%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Value deals  offers eg 2 for 1 offers   Very impactful ,470,199,271,131,121,140,53,25,60,110,125,92,83
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Value deals  offers eg 2 for 1 offers   Very impactful ,47%,41%,53%,47%,44%,50%,47%,47%,47%,49%,48%,44%,47%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Value deals  offers eg 2 for 1 offers   Fairly Impactful,415,222,193,117,118,110,48,22,55,95,107,91,67
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Value deals  offers eg 2 for 1 offers   Fairly Impactful,41%,45%,38%,42%,43%,39%,42%,42%,43%,42%,41%,43%,38%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Value deals  offers eg 2 for 1 offers   Neither,84,51,33,24,27,21,6,6,11,16,25,19,13
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Value deals  offers eg 2 for 1 offers   Neither,8%,10%,6%,9%,10%,8%,5%,11%,9%,7%,10%,9%,7%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Value deals  offers eg 2 for 1 offers   Not very impactful,27,16,11,9,9,6,3,0,3,4,4,7,9
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Value deals  offers eg 2 for 1 offers   Not very impactful,3%,3%,2%,3%,3%,2%,3%,0%,2%,2%,2%,3%,5%
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Value deals  offers eg 2 for 1 offers   Not at all impactful,6,2,4,0,1,2,3,0,0,0,0,2,4
How impactful or not are the following types of advertising campaigns on the purchases you make from a supermarket grocery store or off licence at Christmas time  Percentage of Value deals  offers eg 2 for 1 offers   Not at all impactful,1%,0%,1%,0%,0%,1%,3%,0%,0%,0%,0%,1%,2%
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Total,1002,490,512,281,276,279,113,53,129,225,261,211,176
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of Total,100%,49%,51%,28%,28%,28%,11%,5%,13%,22%,26%,21%,18%
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Dennys,12,9,3,4,3,4,0,1,1,2,1,5,3
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of Dennys,1%,0.0183673469387755,0.005859375,0.0142348754448399,0.0108695652173913,0.014336917562724,0,0.0188679245283019,0.00775193798449612,0.00888888888888889,0.00383141762452107,0.023696682464455,0.0170454545454545
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Jameson,105,75,30,28,30,32,8,7,8,24,38,15,20
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of Jameson,7%,0.153061224489796,0.05859375,0.099644128113879,0.108695652173913,0.114695340501792,0.0707964601769911,0.132075471698113,0.062015503875969,0.106666666666667,0.145593869731801,0.0710900473933649,0.113636363636364
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  MS,24,5,19,15,8,0,1,0,5,4,4,6,5
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of MS,2%,0.0102040816326531,0.037109375,0.0533807829181495,0.0289855072463768,0,0.00884955752212389,0,0.0387596899224806,0.0177777777777778,0.0153256704980843,0.028436018957346,0.0284090909090909
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Baileys,306,117,189,93,86,84,32,11,33,66,72,74,61
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of Baileys,20%,0.238775510204082,0.369140625,0.330960854092527,0.311594202898551,0.301075268817204,0.283185840707965,0.207547169811321,0.255813953488372,0.293333333333333,0.275862068965517,0.350710900473934,0.346590909090909
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Coca Cola,57,30,27,14,15,20,5,3,11,8,21,13,4
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of Coca Cola,4%,0.0612244897959184,0.052734375,0.0498220640569395,0.0543478260869565,0.0716845878136201,0.0442477876106195,0.0566037735849057,0.0852713178294574,0.0355555555555556,0.0804597701149425,0.0616113744075829,0.0227272727272727
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Smirnoff,53,19,34,11,17,17,7,1,12,9,13,12,7
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of Smirnoff,3%,0.0387755102040816,0.06640625,0.0391459074733096,0.0615942028985507,0.0609318996415771,0.0619469026548673,0.0188679245283019,0.0930232558139535,0.04,0.0498084291187739,0.0568720379146919,0.0397727272727273
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Tesco,44,23,21,17,7,10,7,3,10,18,8,3,5
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of Tesco,3%,0.0469387755102041,0.041015625,0.0604982206405694,0.0253623188405797,0.03584229390681,0.0619469026548673,0.0566037735849057,0.0775193798449612,0.08,0.0306513409961686,0.014218009478673,0.0284090909090909
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Tayto,93,36,57,24,19,41,8,1,7,17,37,21,11
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of Tayto,6%,0.073469387755102,0.111328125,0.0854092526690391,0.0688405797101449,0.146953405017921,0.0707964601769911,0.0188679245283019,0.0542635658914729,0.0755555555555556,0.14176245210728,0.0995260663507109,0.0625
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of Percentage of Tayto,27,15,12,9,9,3,4,2,7,3,8,6,3
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of Percentage of Percentage of Tayto,2%,0.0306122448979592,0.0234375,0.0320284697508897,0.0326086956521739,0.010752688172043,0.0353982300884956,0.0377358490566038,0.0542635658914729,0.0133333333333333,0.0306513409961686,0.028436018957346,0.0170454545454545
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Dunnes Stores,28,14,14,13,6,5,2,2,5,12,6,2,3
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of Dunnes Stores,2%,0.0285714285714286,0.02734375,0.0462633451957295,0.0217391304347826,0.017921146953405,0.0176991150442478,0.0377358490566038,0.0387596899224806,0.0533333333333333,0.0229885057471264,0.00947867298578199,0.0170454545454545
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Cadburys,267,90,177,72,68,87,19,21,33,64,60,68,42
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of Cadburys,17%,0.183673469387755,0.345703125,0.256227758007117,0.246376811594203,0.311827956989247,0.168141592920354,0.39622641509434,0.255813953488372,0.284444444444444,0.229885057471264,0.322274881516588,0.238636363636364
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Powers,11,10,1,0,4,4,3,0,1,0,6,1,3
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of Powers,1%,0.0204081632653061,0.001953125,0,0.0144927536231884,0.014336917562724,0.0265486725663717,0,0.00775193798449612,0,0.0229885057471264,0.004739336492891,0.0170454545454545
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Lindt,53,13,40,10,15,16,8,4,5,17,13,12,6
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of Lindt,3%,0.026530612244898,0.078125,0.0355871886120996,0.0543478260869565,0.0573476702508961,0.0707964601769911,0.0754716981132075,0.0387596899224806,0.0755555555555556,0.0498084291187739,0.0568720379146919,0.0340909090909091
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Ballymaloe,18,6,12,3,7,6,1,1,1,3,6,4,4
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of Ballymaloe,1%,0.0122448979591837,0.0234375,0.0106761565836299,0.0253623188405797,0.021505376344086,0.00884955752212389,0.0188679245283019,0.00775193798449612,0.0133333333333333,0.0229885057471264,0.018957345971564,0.0227272727272727
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Heineken,63,51,12,19,18,17,4,5,9,12,20,10,12
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of Heineken,4%,0.104081632653061,0.0234375,0.0676156583629893,0.0652173913043478,0.0609318996415771,0.0353982300884956,0.0943396226415094,0.0697674418604651,0.0533333333333333,0.0766283524904215,0.0473933649289099,0.0681818181818182
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Other Brands,106,56,50,28,28,27,17,6,12,18,24,22,30
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of Other Brands,7%,0.114285714285714,0.09765625,0.099644128113879,0.101449275362319,0.0967741935483871,0.150442477876106,0.113207547169811,0.0930232558139535,0.08,0.0919540229885057,0.104265402843602,0.170454545454545
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Roses,56,19,37,11,20,10,11,4,3,12,13,17,11
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of Roses,4%,0.0387755102040816,0.072265625,0.0391459074733096,0.072463768115942,0.03584229390681,0.0973451327433628,0.0754716981132075,0.0232558139534884,0.0533333333333333,0.0498084291187739,0.0805687203791469,0.0625
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Absolut,16,12,4,1,6,5,3,1,5,1,6,2,2
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of Absolut,1%,0.0244897959183673,0.0078125,0.00355871886120996,0.0217391304347826,0.017921146953405,0.0265486725663717,0.0188679245283019,0.0387596899224806,0.00444444444444444,0.0229885057471264,0.00947867298578199,0.0113636363636364
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Guinness,117,88,29,39,26,39,11,2,10,31,34,22,20
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of Guinness,8%,0.179591836734694,0.056640625,0.138790035587189,0.0942028985507246,0.139784946236559,0.0973451327433628,0.0377358490566038,0.0775193798449612,0.137777777777778,0.130268199233716,0.104265402843602,0.113636363636364
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Quality Street,38,17,21,7,16,6,7,2,2,4,14,11,7
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of Quality Street,2%,0.0346938775510204,0.041015625,0.0249110320284698,0.0579710144927536,0.021505376344086,0.0619469026548673,0.0377358490566038,0.0155038759689922,0.0177777777777778,0.053639846743295,0.0521327014218009,0.0397727272727273
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  No Group,66,0,0,0,0,0,0,0,0,0,0,0,0
Top 3 favourite Brands to buy in a supermarket grocery store or off licence at Christmas time  Percentage of No Group,4%,0,0,0,0,0,0,0,0,0,0,0,0
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  Total,1002,490,512,281,276,279,113,53,129,225,261,211,176
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  Percentage of Total,100%,49%,51%,28%,28%,28%,11%,5%,13%,22%,26%,21%,18%
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  TV,268,141,127,64,76,80,34,14,19,39,71,64,75
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  Percentage of TV,27%,0.287755102040816,0.248046875,0.227758007117438,0.27536231884058,0.28673835125448,0.300884955752212,0.264150943396226,0.147286821705426,0.173333333333333,0.272030651340996,0.303317535545024,0.426136363636364
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  Radio,63,39,24,22,10,20,11,0,1,13,15,15,19
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  Percentage of Radio,6%,0.0795918367346939,0.046875,0.0782918149466192,0.036231884057971,0.0716845878136201,0.0973451327433628,0,0.00775193798449612,0.0577777777777778,0.0574712643678161,0.0710900473933649,0.107954545454545
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  Print media eg newspapers magazines flyers,49,26,23,13,17,12,4,3,10,6,11,11,11
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  Percentage of Print media eg newspapers magazines flyers,5%,0.0530612244897959,0.044921875,0.0462633451957295,0.0615942028985507,0.043010752688172,0.0353982300884956,0.0566037735849057,0.0775193798449612,0.0266666666666667,0.0421455938697318,0.0521327014218009,0.0625
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  Out of Home eg billboards posters,45,32,13,19,13,9,3,1,9,10,10,10,6
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  Percentage of Out of Home eg billboards posters,4%,0.0653061224489796,0.025390625,0.0676156583629893,0.0471014492753623,0.032258064516129,0.0265486725663717,0.0188679245283019,0.0697674418604651,0.0444444444444444,0.0383141762452107,0.0473933649289099,0.0340909090909091
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  Tiktok,62,26,36,16,13,20,7,6,21,19,11,6,5
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  Percentage of Tiktok,6%,0.0530612244897959,0.0703125,0.0569395017793594,0.0471014492753623,0.0716845878136201,0.0619469026548673,0.113207547169811,0.162790697674419,0.0844444444444444,0.0421455938697318,0.028436018957346,0.0284090909090909
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  Twitter,18,15,3,5,4,5,3,1,2,2,7,2,5
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  Percentage of Twitter,2%,0.0306122448979592,0.005859375,0.0177935943060498,0.0144927536231884,0.017921146953405,0.0265486725663717,0.0188679245283019,0.0155038759689922,0.00888888888888889,0.0268199233716475,0.00947867298578199,0.0284090909090909
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  Facebook,106,47,59,26,29,29,17,5,5,24,29,31,17
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  Percentage of Facebook,11%,0.0959183673469388,0.115234375,0.0925266903914591,0.105072463768116,0.103942652329749,0.150442477876106,0.0943396226415094,0.0387596899224806,0.106666666666667,0.111111111111111,0.146919431279621,0.0965909090909091
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  Instagram,188,69,119,51,54,54,19,10,32,61,52,30,13
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  Percentage of Instagram,19%,0.140816326530612,0.232421875,0.181494661921708,0.195652173913043,0.193548387096774,0.168141592920354,0.188679245283019,0.248062015503876,0.271111111111111,0.199233716475096,0.14218009478673,0.0738636363636364
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  General Online advertising,146,64,82,49,40,37,10,10,21,40,36,33,16
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  Percentage of General Online advertising,15%,0.130612244897959,0.16015625,0.174377224199288,0.144927536231884,0.132616487455197,0.0884955752212389,0.188679245283019,0.162790697674419,0.177777777777778,0.137931034482759,0.156398104265403,0.0909090909090909
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  Email ,46,23,23,13,17,9,4,3,8,7,15,8,8
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  Percentage of Email ,5%,0.0469387755102041,0.044921875,0.0462633451957295,0.0615942028985507,0.032258064516129,0.0353982300884956,0.0566037735849057,0.062015503875969,0.0311111111111111,0.0574712643678161,0.037914691943128,0.0454545454545455
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  Other,11,8,3,3,3,4,1,0,1,4,4,1,1
Which of the following types of media is most likely to get your attention when looking for brands to purchase at Christmas time  Percentage of Other,1%,0.0163265306122449,0.005859375,0.0106761565836299,0.0108695652173913,0.014336917562724,0.00884955752212389,0,0.00775193798449612,0.0177777777777778,0.0153256704980843,0.004739336492891,0.00568181818181818
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   Total,1002,490,512,281,276,279,113,53,129,225,261,211,176
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   Percentage of Total,100%,49%,51%,28%,28%,28%,11%,5%,13%,22%,26%,21%,18%
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   TV,474,217,257,139,119,143,50,23,48,88,125,119,94
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   Percentage of TV,47%,0.442857142857143,0.501953125,0.494661921708185,0.431159420289855,0.512544802867383,0.442477876106195,0.433962264150943,0.372093023255814,0.391111111111111,0.478927203065134,0.563981042654028,0.534090909090909
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   Radio,304,167,137,75,76,94,42,17,23,46,82,87,66
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   Percentage of Radio,30%,0.340816326530612,0.267578125,0.266903914590747,0.27536231884058,0.336917562724014,0.371681415929204,0.320754716981132,0.178294573643411,0.204444444444444,0.314176245210728,0.412322274881517,0.375
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   Print media eg newspapers magazines flyers,214,103,111,60,58,69,21,6,18,46,49,48,53
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   Percentage of Print media eg newspapers magazines flyers,21%,0.210204081632653,0.216796875,0.213523131672598,0.210144927536232,0.247311827956989,0.185840707964602,0.113207547169811,0.13953488372093,0.204444444444444,0.187739463601533,0.227488151658768,0.301136363636364
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   Out of Home eg billboards posters,216,112,104,78,48,57,22,11,23,52,52,46,43
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   Percentage of Out of Home eg billboards posters,22%,0.228571428571429,0.203125,0.277580071174377,0.173913043478261,0.204301075268817,0.194690265486726,0.207547169811321,0.178294573643411,0.231111111111111,0.199233716475096,0.218009478672986,0.244318181818182
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   Tiktok,209,97,112,57,51,64,25,12,51,59,45,36,18
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   Percentage of Tiktok,21%,0.197959183673469,0.21875,0.202846975088968,0.184782608695652,0.229390681003584,0.221238938053097,0.226415094339623,0.395348837209302,0.262222222222222,0.172413793103448,0.170616113744076,0.102272727272727
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   Twitter,106,77,29,25,27,30,16,8,14,37,25,21,9
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   Percentage of Twitter,11%,0.157142857142857,0.056640625,0.0889679715302491,0.0978260869565217,0.10752688172043,0.141592920353982,0.150943396226415,0.108527131782946,0.164444444444444,0.0957854406130268,0.0995260663507109,0.0511363636363636
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   Facebook,308,138,170,66,96,90,38,18,19,73,87,76,53
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   Percentage of Facebook,31%,0.281632653061224,0.33203125,0.234875444839858,0.347826086956522,0.32258064516129,0.336283185840708,0.339622641509434,0.147286821705426,0.324444444444444,0.333333333333333,0.360189573459716,0.301136363636364
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   Instagram,358,143,215,110,92,92,42,22,57,99,101,61,40
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   Percentage of Instagram,36%,0.291836734693878,0.419921875,0.391459074733096,0.333333333333333,0.329749103942652,0.371681415929204,0.415094339622642,0.441860465116279,0.44,0.386973180076628,0.289099526066351,0.227272727272727
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   General Online advertising,317,148,169,96,81,95,27,18,39,80,84,69,45
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   Percentage of General Online advertising,32%,0.302040816326531,0.330078125,0.341637010676157,0.293478260869565,0.340501792114695,0.238938053097345,0.339622641509434,0.302325581395349,0.355555555555556,0.32183908045977,0.327014218009479,0.255681818181818
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   Email ,186,80,106,57,50,43,28,8,15,36,58,38,39
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   Percentage of Email ,19%,0.163265306122449,0.20703125,0.202846975088968,0.181159420289855,0.154121863799283,0.247787610619469,0.150943396226415,0.116279069767442,0.16,0.222222222222222,0.180094786729858,0.221590909090909
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   Other,10,7,3,4,3,1,1,1,1,3,5,0,1
And what other types of media are likely to get your attention when looking for brands at Christmas time Please select all that apply   Percentage of Other,1%,0.0142857142857143,0.005859375,0.0142348754448399,0.0108695652173913,0.003584229390681,0.00884955752212389,0.0188679245283019,0.00775193798449612,0.0133333333333333,0.0191570881226054,0,0.00568181818181818
